term,weight
allocate,0.0028705636743215036
applet,0.011416098957879463
application,0.0028705636743215036
array,0.00808977035490605
browser,0.0031315240083507312
button,0.011743215031315231
class,0.00924587466976223
code,0.010542289350102221
comment,0.004175365344467641
data,0.016083636545289683
element,0.002609603340292276
example,0.004958246346555323
file,0.002609603340292276
following,0.002609603340292276
garbage,0.0028705636743215036
int,0.010699373695198322
java,0.021974680042676997
language,0.003914405010438414
make,0.003392484342379959
memory,0.003914405010438414
method,0.010177453027139868
new,0.013048016701461367
null,0.002609603340292276
object,0.011743215031315231
operator,0.0031315240083507312
pointer,0.0028705636743215036
primitive,0.0036534446764091865
program,0.00521920668058455
public,0.006002087682672232
reference,0.0031315240083507312
return,0.0036534446764091865
runtime,0.002609603340292276
stack,0.002609603340292276
string,0.007045929018789141
type,0.004899416556592013
use,0.003914405010438414
void,0.0036534446764091865
